key,0,1,2
#,Tag,Icon,Order
int32,str,Image,byte
0,"なし","ui/icon/000000/000000.tex",0
1,"ショップ","ui/icon/061000/061381.tex",1
2,"マネキンショップ","ui/icon/061000/061382.tex",2
3,"こだわりの内装","ui/icon/061000/061383.tex",3
4,"交流帳","ui/icon/061000/061384.tex",4
5,"酒場","ui/icon/061000/061385.tex",5
6,"レストラン","ui/icon/061000/061386.tex",6
7,"ロールプレイ","ui/icon/061000/061387.tex",21
8,"喫茶店","ui/icon/061000/061391.tex",24
9,"水族館","ui/icon/061000/061388.tex",22
10,"聖堂","ui/icon/061000/061389.tex",23
11,"イベント","ui/icon/061000/061390.tex",50
12,"花屋","ui/icon/061000/061392.tex",25
13,"","ui/icon/000000/000000.tex",0
14,"図書館","ui/icon/061000/061394.tex",26
15,"撮影スタジオ","ui/icon/061000/061393.tex",51
16,"ホラーハウス","ui/icon/061000/061395.tex",52
17,"アトリエ","ui/icon/061000/061396.tex",27
18,"銭湯","ui/icon/061000/061397.tex",28
19,"植物園","ui/icon/061000/061398.tex",29
20,"東方様式","ui/icon/061000/061399.tex",80
