key,0,1,2,3,4
#,Type,,,,Text
int32,HWDInfoBoardArticleType,byte,uint16,bit&01,str
0,"",0,0,False,""
1,"",0,0,False,""
2,"",0,0,False,""
3,"",0,0,False,""
4,"",0,0,False,""
5,"トピックス",0,0,True,""
6,"トピックス",0,0,True,""
7,"トピックス",0,0,True,""
8,"トピックス",0,0,True,""
9,"トピックス",0,0,True,""
10,"トピックス",0,0,True,""
11,"トピックス",0,0,True,""
12,"お知らせ",1,1,True,"<Switch(IntegerParameter(1))><Case(1)>名も無き者たちの広場：第一期整備計画</Case><Case(2)>第1報　名も無き者たちの広場：第一期整備計画</Case></Switch>"
13,"お知らせ",1,2,False,"<Switch(IntegerParameter(1))><Case(1)>求ム！ 復興共同作業への参加！</Case><Case(2)>第2報　求ム！ 復興共同作業への参加！</Case></Switch>"
14,"お知らせ",4,3,True,"<Switch(IntegerParameter(1))><Case(1)>名も無き者たちの広場：第二期整備計画</Case><Case(2)>第3報　名も無き者たちの広場：第二期整備計画</Case></Switch>"
15,"お知らせ",4,4,False,"<Switch(IntegerParameter(1))><Case(1)>ふたたびの復興共同作業！</Case><Case(2)>第4報　ふたたびの復興共同作業！</Case></Switch>"
16,"お知らせ",7,5,True,"<Switch(IntegerParameter(1))><Case(1)>名も無き者たちの広場：第三期整備計画</Case><Case(2)>第5報　名も無き者たちの広場：第三期整備計画</Case></Switch>"
17,"お知らせ",7,6,False,"<Switch(IntegerParameter(1))><Case(1)>リズベスの計画に協力してくれ！</Case><Case(2)>第6報　リズベスの計画に協力してくれ！</Case></Switch>"
18,"お知らせ",10,7,True,"<Switch(IntegerParameter(1))><Case(1)>名も無き者たちの広場：整備完了</Case><Case(2)>第7報　名も無き者たちの広場：整備完了</Case></Switch>"
19,"案内",1,2,True,"製作物の納品について"
20,"案内",1,3,True,"復興共同作業について"
21,"案内",1,1,True,"「イシュガルド復興」とは"
22,"",0,0,False,""
23,"",0,0,False,""
24,"",0,0,False,""
25,"",0,0,False,""
26,"",0,0,False,""
27,"",0,0,False,""
28,"",0,0,False,""
29,"",0,0,False,""
30,"",0,0,False,""
31,"",0,0,False,""
32,"",0,0,False,""
33,"",0,0,False,""
34,"",0,0,False,""
35,"",0,0,False,""
36,"",0,0,False,""
37,"",0,0,False,""
38,"",0,0,False,""
39,"",0,0,False,""
40,"",0,0,False,""
41,"",0,0,False,""
42,"",0,0,False,""
43,"",0,0,False,""
44,"",0,0,False,""
45,"",0,0,False,""
46,"",0,0,False,""
